"","Aaron","Arão","eb0d",
"","backward","em sentido contrário","e325",
"","bad","mau","e17d",
"","bag","saco","e26f",
"","Balaam","Balaão","eca1",
"","Balak","Balaque","ebff",
"","bank","banco","ec55",
"","baptism","batismo","e24a",
"","baptize","batizar","e24a",
"","Bar_Jesus_not_Christ","Bar_Jesus_não_Cristo","ec89","not in pw76"
"","Barabbas","Barrabás","e36d",
"","Barachiah","Baraquias","ea97",
"","Barak","Baraque","ed02",
"","Barnabas","Barnabé","ec2f",
"","Barsabbas","Barsabbas","eb69",
"","Bartholomew","Bartolomeu","e362",
"","Bartimaeus","Bartimaeus","e36b",
"","basket","cesta","e19f",
"","battle","batalha","e283",
"","bear","suportar","ecef",
"","bear_with","tolerar","e227",
"","beast","besta","e103",
"","beat","batimento","e0e4",
"","beautiful","belo","ea4a",
"","beauty","beleza","ea4a",
" ","because","porque","e066",
"","beckon","acenar","e040",
"","become_person","Tornar-se pessoa","e83a",
"","become_thing","Tornar-se uma coisa","e839",
"","bed","cama","e122",
" ","Beelzebul","Beelzebul","e335",
"","before","antes","e107",
"","beg","implorar","e21e",
"","beginning","começar","e231",
"","behind","atrás","e116",
"","believe","crer","e06f",
"","Believer","Crente","eb90",
"","belt","cinto","e29d",
"","Benjamin","Benjamim","eb4b",
"","Beor","Beor","eda3",
"","Berea","Bereia","eb13",
"","Bernice","Berenice","eb9e",
"","beside","ao lado","e117",
"","best","melhor","e21f",
"","Bethany","Beânia","e349",
"","Bethesda","Betesda","eba0",
"","Bethlehem","Belém","ea45",
"","Bethphage","Betfagé","e348",
"","Bethsaida","Betsaida","e340",
"","betray","trair","e195",
"","betrayal","traição","e195",
"","better","melhor","e09e",
"","between ","entre","e118",
"","Bible","Bíblia","e22c",
"","big","grande","e120",
"","bird","pássaro","e25c",
"","birth","nascimento","e235",
"","Bithynia","Bitínia","eb48",
"","bitter","amargo","ecd2",
"","black","preto","eb86",
"","blaspheme","blasfemar","e05b",
"","blasphemy","blasfêmia","e05b",
"","Blastus","Blasto","eb8d",
"","blemish","defeito","ed01",
"","bless","abençoar","e05c",
"","blessed","abençoado","ea21",
"","blessing","bênção","e05c",
"","blind","cego","e192",
"","blood","sangue","e087",
"","blue","azul","ecda",
"","boast","alardear","e14b",
"","boat","barco","e265",
"","Boaz","Boaz","ea54",
" ","body","corpo","e143",
"","bone","osso","e0b2",
"","book","livro","e22a",
"","born","nascer","e235",
"","bottom","fundo","e119",
"","bound","limite","e25f",
"","bow","arco","e210",
"","bow_arrow","Arco-flecha","ecc8",
"","bowl","taça","e384",
"","box","caixa","e29e",
"","boy","menino","e001",
"","boys","meninos","e002",
"","branch","ramificar","e246",
"","brave","valente","e196",
"","bread","pão","e05d",
"","break","partir","e0e1",
"","breastplate","peitoral","ecd5",
"","breath","fõlego","ecee",
"","breathe","respirar","ecee",
"","bribe","subornar","ebdb",
"","bride","noiva","e015",
"","bright","brilhante","e21b",
"","bring","trazer","e088",
"","bronze","bronze","eb2c",
"","brother","irmão","e006",
"","brothers","irmãos","e007",
"","build","edificar","e17a",
"","building","edificando","e0a1",
"","burden","fardo","ec86",
"","burn","queimar","ecd0",
"","burnt","queimado","ecd0",
"","bury","enterrar","e0d7",
"","but","porêm","e11a",
"","buy","comprar","e32a",
"","Caesar","César","e370",
"","Caesarea","Cesareia","e346",
"","Caiaphas","Caifás","ea77",
"","Cain","Caim","ec56",
"","Cainan","Cainã","ec56",
"","call","ligar","e040",
"","camel","camelo","e29f",
"","can","pode","e124",
"","Cana","Caná","eba2",
"","Canaan_land","Canaã","e33d",
"","Candace","Candace","eb85",
"","Capernaum","Cafarnaum","e33a",
"","Cappadocia","Capadócia ","eb74",
"","careful","cuidado","e19e",
"","carpenter","carpintero","e14f",
"","Carpus","Carpo","ecad",
"","carry","carregar","e088",
"","case","caso","ec87",
"","catch","pegar","e115",
"","Cauda","Cauda","ec36",
"","Cenchrea","Cencreia","eb3d",
"","census","censo","e0b8",
"","centurion","centurião","eb7a",
"","Cephas","Cefas","e356",
"","ceremony","cermônia","ec88",
"","chain","cadeia","e25f",
"","chair","cadeira","e298",
"","Chaldea","Caldéia","eb0e",
"","change","mundança","e31e",
"","chapter","capítulo","e230",
"","chariot","carruagem","ec82",
"","child","criança","e200",
"","children","crianças","e201",
"","Chios","Quios","eb22",
"","Chloe","Cloé","ebe2",
"","choose","escolher","e021",
"","Chorazin","Corazim","ea8f",
"","Christ","Cristo","e334",
"","Christian","Cristão","eb90",
"","church","igreja","ebfc",
"","Chuza","Cuza","ec57",
"","Cilicia","Cilícia","eb5b",
"","circumcise","circuncidar","e250",
"","circumcision","circuncisão","e250",
"","citizen","cidadão","eb98",
"","Clauda","Cauda","ec36",
"","Claudia","Cláudia","ecae",
"","Claudius","Cláudio","eb8a",
"","clay","argila","ebec",
"","clean","limpo","e248",
"","Clement","Clemente","ece3",
"","Cleopas","Cleopas","ec58",
"","cloak","capa ","ea76",
"","Clopas","Clopas","ebb5",
"","close","fechar","e300",
"","closed","fechado","e23f",
"","clothe","vestir","e147",
"","clothing","roupas","e253",
"","cloud","nuvem","e26e",
"","Cnidus","Cnido","ec14",
"","cohort","Coorte","e148",
"","cold","frio","e0f2",
"","color","Cor","e284",
"","Colossae","Colossa","ece8",
"","come   ","vir","e25a",
"","come_out","sair","e243",
"","comfort","conforto","ea3b",
"","command","comando","e058",
"","commandment","mandamento","e22f",
"","compassion","compaixão","e01a",
"","complete","completo","ecec",
"","condemn","condenar","ea7f",
"","condemnation","condenação","ea7f",
"","confession","confissão","e03f",
"","confidence","confiança","e070",
"","confuse","confundir","eb08",
"","continue","continuar","e049",
"","control","controlar","e332",
"","convert","converter","e83a",
"","Corinth","Corinto","ea59",
"","Cornelius","Cornélio","eb81",
"","corner","esquina","eb83",
"","cornerstone","A pedra angular","e21c",
"","correct","corrigir","e09a",
"  ","Cosam","Cosã","ec59",
"","couch","sofá","eb5f",
"","council","concílio","e0f7",
"","counted","contado","ebc0",
"","country","país","e0a2",
"","countrymen","compatriotas","e157",
"","countryside","região rural","eb96",
"","courage","coragem","e196",
"","courtyard","pátio","e0f6",
"","covenant","pacto","e21d",
"","cover","cobrir","e39a",
"","covet","cobiçar","e022",
"","cow","vaca","eb36",
"","create","criar","e076",
"","creation","criação","ebc3",
"","Creator","Criador","ec22",
"","credit","crédito","ebc0",
"","Crescan","Crescan","ecaf",
"","Crete","Creta","ec8d",
"","Crispus","Crispo","eb3a",
"","criticize","criticar","e055",
"","crooked","torcido","eb39",
"","cross","cruz","e038",
"","crowd","multidão","e128",
"","crown","coroa","eda4",
"","crucify","crucificar","e03c",
"","crush","esmagar","e146",
"","cry","chorar","e20c",
"","cup","copo","e274",
"","curse","maldição","e05a",
"","curtain","cortina","e254",
"","Cush","Cuxe","ec32",
"","cushion","amortecer","e26c",
"","custom","costume","eb10",
"","cut","cortar","e24e",
"","cymbal","címbalo","ebe3",
"","Cyprus","Chipre","eb88",
"","Cyrene","Cirene","eb59",
"","Dalmanutha","Dalmanuta","e344",
"","Dalmatia","Dalmatía","ecb1",
"","Damaris","Dâmaris","eb37",
"","Damascus","Damasco","ec31",
"","dance","danzar","e259",
"","Daniel","Daniel","ea78",
"","dark","escuro","ea17",
"","daughter","filha","e00c",
"","daughters","filhas","e00d",
"","David","Davi","e35e",
"","day","dia","e15f",
"","deacon","diácono","E120",
"","dead","morto","e181",
"","deaf","surdo","e191",
"","death","morte","e181",
"","Decapolis","Decápolis","e33e",
"","deceive","enganar","e17f",
"","deceiver","enganador","e152",
"","deception","deceição","e17f",
"","deep","profundo","e321",
"","Demes","Demes","ecb2",
"","Demetrius","Demétrio","eb1a",
"","demon","demônio","eb87",
"","denarius","denário","e165",
"","deny","negar","e0e5",
"","depart","partir","e243",
"","depth","profundidade","e321",
"","Derbe","Derbe","eb43",
"","descend","descer","e317",
"","descendant","descendente","eb60",
"","desert","deserto","e156",
"","deserve","merecer","e0f5",
"","desire","desejo","e020",
"","destroy","destruir","e141",
"","destruction","destruição","e141",
"","Didymus","Dídimo","ebb6",
"","die","morrer","e181",
"","different","diferente","ecff",
"","difficult","difícil","e093",
"","dignify","dignificar","e04b",
"","Dionysius","Dionísio","eb78",
"  ","Diotrephes","Diótrefes","ece2",
"","direction","direção","e323",
"","dirt","sujeira","e15b",
"","dirty","sujo","e249",
"","disciple","discípulo","e142",
"","discipline","disciplina","eda5",
"","discourage","desencorajar","e261",
"","disease","doença","e20a",
" ","dish","prato","e384",
"","disobedience","desobediência","e193",
"","disobey","desobedecer","e193",
"","divide","dividir","e326",
"","division","divisão","e326",
"","divorce","divórcio","ea3d",
"","do","fazer","e08c",
"","doctor","médico","e144",
"","dog","cão","e104",
"","dominion","domínio","e032",
"","donkey","asno","ea09",
"","door","porta","e23e",
"","Dorcas","Dorcas","ec2c",
"","doubt","dúvida","e194",
"","dough","massa","ea36",
"","dove","pomba","e25e",
"","down","baixo","e319",
"","dragon","dragão","ecdf",
"","dream","sonhar","ea80",
"","drink","beber","e274",
"","drum","tambor","ebe3",
"","drunk","bêbado","ea8d",
"","Drusilla","Drusila","eb9c",
"","dry","seco","e188",
"","dust","poeira","e15d",
"","dwell","habitar","e17b",
"","eagle","águia","ecc9",
"","ear","orelha","e299",
"","earn","ganhar","e0f5",
"","earth","terra","e153",
"","earthquake","terremoto","e159",
"","east","leste","ea38",
"","easy","fácil","e092",
"","eat","comer","e053",
"","Eber  ","Héber","ec5a",
"","Egypt","Egito","ea44",
"","eight","oito","e293",
"","Elam_land           ","Elão","eb6d",
"","elder","anciãos","eb62",
"","Eleazar","Eleazar","ea70",
"","elect","eleger","ec9f",
"  ","Eli","Eli","ec44",
"","Eliakim","Eliaquim","ea6b",
"","Eliezer","Eliézer","ec5b",
"","Elijah","Elias","e36a",
"","Elisha","Eliseu","ec5c",
"","Eliud","Eliúde","ea6f",
"","Elizabeth","Isabel","ec3a",
"","Elmadam","Elmadã","ec5d",
"","Emmaus","Emaús","ec5e",
"","Emmor","Hamor","eb5d",
"","empty","esvaziar","e277",
"","encourage","encorajar","e262",
"","end","fim","e232",
"","endure","durar","e170",
"","enemy","inimigo","e025",
"","enmity","inimizade","e01b",
"","Enoch","Enoque","ec5f",
"","Enos","Enos","ec60",
"","enter","entrar","e242",
"","envy","inveja","e022",
"","Epaenetus","Epêneto","ebc1",
"","Epaphras","Epafras","ece4",
"","Epaphroditus","Epafrodito","ece4",
"","Ephesus","Éfeso","ec0c",
"","Ephraim_land        ","Cidade_Efraim","eba4",
"","Ephraim_man         ","Efraim","eba3",
"","Epicurean","Epicureus","ec05    ",
"","equal","igual","e24b",
"","Er","Er","ec61",
"","Erastus","Erasto","ec0e",
"","Esau","Esaú","ebc2",
"","Esli","Esli","ec49",
"","eternal","eterno","e252",
"","eternity","eternidade","e252",
"","Ethiopia","Etiópia","ec32",
"","Eubulus","Êubulo","ecb3",
"","Eunice","Eunice","ecb4",
"","eunuch","eunuco","eb8f",
"  ","Euodia","Euodia","ece5",
"","Euphrates_River","Rio_Eufrates","ecd8",
"","Eutychus","Êutico","eb1f",
"","evangelist","evangelista","e13f",
"","Eve","evangelista","ebeb",
"","evening","noite","e273",
"","everyone","todos","e140",
"","everything","tudo","e114",
"","everywhere","em toda parte","e155",
"","exalt","exaltar","e04b",
"","example","exemplo","ecf0",
"","explain","explicar","e059",
"","explanation","explicação","e059",
"","eye","olho","e238",
"","fabric","tecido","e253",
"","face","face","e203",
"","Fair_Haven","Refúgio_Justo","ec18",
"","faith","fé","e06f",
"","faithful","fiel","e219",
"","faithfulness","fidelidade","e219",
"","fall","cair","e218",
"","false ","FALSE","e17f",
"","family","família ","e176",
"","famine","fome","e18d",
"","far ","longe","e197",
"","farewell","despedida","ec83",
"","farm","fazenda","eb91",
"","farmer","agricultor","e133",
"","fast_no_eat","jejuar_não_comer","e18e",
"","fast_speed","rápida_velocidade","e21a",
"","fat","gordo","ea86",
"","fat_animal","graxa_animal","eb11",
"","father","pai","e003",
"","fear","temor","e056",
"","feast","festa","e054",
"","Felix","Félix","eb99",
"","festival","festival","e20b",
"","few","poucos","e19b",
"","field","campo","eb91",
"","fig","figo","eda2",
"","fight","luta","e283",
"","fill","preencher","e278",
"","find","encontrar","e101",
"","finger","dedo","eba5",
"","finish","terminar","e232",
"","fire","fogo","e301",
"","first","primeiro","e233",
"","fish","peixe","e263",
"","fisherman","pescador","e264",
"","five","cinco","e290",
"","fix","consertar","e09d",
"","flesh","carne","e26b",
"","flip","sacudir","e31d",
"","flood","inundar","ece0",
"","flour","farinha","ea35",
"","flower","flor","eb24",
"","flute","flauta","ea8b",
"","fly","voar","e25b",
"","follow","seguir","e13e",
"","food","alimento","e053",
"","fool","tolo","ea7c",
"","foot","pé","e13d",
"","for","para","e086",
"","foreigner","estrangeiro","e158",
"","foreknowledge","presciência","eb79",
"","forest","floresta","ec27",
"","forgive","perdoar","e18f",
"","forgiveness","perdão","e18f",
"","Fortunatus","Fortunato","eca4",
"","forward","adiante","e318",
"","foundation","fundação","e179",
"","four","quatro","e28f",
"","fox","raposa","ea8a",
"","fragrant","perfumado","e097",
"","free","livre","e260",
"","free_no_cost","livre_sem_costo","ebe4",
"","Freedmen","Libertos","ec8e",
"","freedom","liberdade","e260",
"","friend","amigo","e024",
"","frog","rã","ecf6",
"","from","desde","e31a",
"","fruit","fruta","e27e",
"","fulfill","cumprir","e0d2",
"","full","cheio","e276",
"","futile","fútil","e190",
"","future","futuro","e16e",
"","Gabriel","Gabriel","ec39",
"","Gad","Gade","ecbd",
"","Gadara","Gadara","e33f",
"","gain","ganho","e1a3",
"","Gaius","Gaio","ec0f",
"","Galatia","Galácia","eb46",
"","Galilee","Galileia","e337",
"","Gallio","Gálio","eb3b",
"","Gamaliel","Gamaliel","eb4d",
"","gate","portão","e289",
"","gathered_people","pessoas reunidas","e126",
"","gathered_things","coisas reunidas","e108","gathered            "
"","Gaza","Gaza","eb7f",
"","generation","generação","e019",
"","Gennesaret","Genesaré","e341",
"","gentile","gentios","e158",
"","gentle","amável","e26d",
"","gentleness","gentileza","e26d",
"","Gerasenes","Gerasenos","e33f",
"","Gethsemane","Getsêmani","e34a",
"","Gideon","Gideão","ed03",
"","gift","presente","e072",
"","girl","menina","e009",
"","girls","meninas","e00a",
"","give","dar","e086",
"","glass","vidro","ecde",
"","glorify","glorificar","e217",
"","glory","glória","e217",
"","gluttony","glutonaria","ea8c",
"","go ","ir","e381",
"","go_down","descer","e080",
"","goat","bode","ea7d",
"","God","Deus","e036",
"","godly","piedoso","e130",
"","Gog","Gogue","ecf7",
"","gold","ouro","eb2a",
"","Golgotha","Gólgota","e34b",
"","Gomorrah","Gomorra","ea7a",
"","gong","gongo","ebe5",
"","good","bom","e096",
"","good_news","boas_novas","e22b",
"","gospel","evangelho","e22b",
"","governor","governador","e0a3",
"","grace","graça","e01f",
"","grain","grão","e279",
"","grape","uva","ecf4",
"","grass","grama","ea33",
"","grateful","grato","e20e",
"","gratitude","gratidão","e20e",
"","grave","sepultar","e178",
"","great","grande","e14a",
"","Greece","Grécia","e345",
"","greed","cobiça","ea94",
"","green","verde","ecd1",
"","greeting","saudação","e051",
"","grieve","entristecer","e207",
"","grind","moer","e83d",
"","groom","noivo","e013",
"","ground","terreno","e153",
"","ground_soil","solo_arável","e15b",
"","grow","crescer","e154",
"","growth","crescimento","e154",
"","guard","guarda","e0c1",
"","guilt","culpa","ea84",
"","guilty","culpado","ea84",
"","Hagar","Agar","ecab",
"","hail","saraiva","ea13",
"","hail_storm","tormenta_granizo","ecdd",
"","hair","cabelo","e208",
"","half","metade","ea22",
"","Hamor","Hamor","eb5d",
"","hand","mão","e071",
" ","Hannah","Ana","eb02",
"","happy","feliz","e205",
"","Haran_land","Harã","eb0b",
"","hard","difícil","e269",
"","harlot","prostituta","ecfc",
"","harp","harpa","ecc6",
"","harsh","áspero","eca7",
"","harvest","colheita","e082",
"","harvester","segador","e139",
"","hate","ódio","e01b",
"","have","ter ","e083",
"","have_to","tem_que","e07f",
"","head","cabeça","e206",
"","heal","curar","e084",
"","healer","curador","e144",
"","health","cura ","e209",
"","healthy","saudável","e209",
"","hear ","ouvir","e299",
"","heart","coração","e29a",
"","heat","calor","e301",
"","heaven","céu","e380",
"","heavy","pesado","e0e7",
"","Hebrew","Hebreus","ec8f",
"","hedge","cerca","e28a",
"","height","altura","ecc1",
"","heir","herdeiro","e018",
"  ","Heli","Eli","ec44",
"","hell","inferno","e0d1",
"","help","ajudar","e13a",
"","helper","ajudante","e150",
"","here","aqui","e212",
"","Hermas","Hermas","ebc4",
"","Hermes_idol","Hermes_ídolo","eb2f",
"","Hermes_man","Hermes","ebed",
"","Hermogenes","Hermógenes","ecb5",
"","Herod ","Herodes","e360",
"","Herodians","Herodianos","ea05",
"","Herodias","Herodias","e355",
"","Herodion","Herodião","ebf1",
"","Hezekiah","Ezequias","ea62",
"","Hezron","Hezrom","ea4f",
"","hide","esconder","e085",
"","Hierapolis","Hierápolis","ece9",
"","hill","monte","e202",
"","hire","contratar","e13b",
"","hit","bater","e0e4",
"","hole","orifício","e302",
"","holy","santo","e13c",
"","honey","mel","e052",
"","honor","honra","e031",
"","hope","esperança","e213",
"","horn","chifre","ecc5",
"","horse","cabalo","e303",
"","hosanna","Hosana","e216",
"","Hosea","Oseias","ebc5",
"","hot ","quente","e301",
"","hour","hora","e331",
"","house","casa","e171",
"","how","como","e068",
"","how_long","quanto tempo","e83c",
"","human_nature","natureza_humana","e23d",
"","humble","humilde","e19d",
"","humiliate","humilhar","e065",
"","humility","humildade","e19d",
"","hungry","faminto","e01e",
"","hurt","ferir","e24f",
"","husband","esposo","e012",
"","Hymenaeus","Himeneu","ecaa",
"","hymn","hino","e0e3",
"","hypocrite","hipócrita","e152",
"","I","I ","e166",
"","Iconium","Icônio","ec1f",
"","idol","ídolo","e35d",
"","Idumea","Idumeia","e378",
"","if","se ","e111",
"","ignorance","ignorância","e06e",
"","ignorant","ignorante","e06e",
"","Illyricum","Ilírico","ebc6",
"","immeasurable","imensurável","e18c",
"","immediately","imediatamente","e215",
"","important","importante","ebe7",
"","impossible","impossível","e180",
"","imprisoned","aprisionar","e25f",
"","impure","impuro","e249",
"","in","em","e240",
"","in_front","em_frente","e112",
"","incense","incenso","ec98",
"","inheritance","herança","e017",
"","insect","inseto","e304",
"","inside","dentro","e240",
"","insist","insistir","e058",
"","insult","insulto","e05b",
"","iron","ferro","eb29",
"","Isaac","Isaque","e374",
"","Isaiah","Isaías","e372",
"","island","ilha","eb05",
"","Israel","Israel","ea04",
"","Issachar","Issacar","ecce",
"","Italy","Itália","ec90",
"","Ituraea","Itureia","ec3e",
"","Jacob","Jacó","e375",
"","Jacob(NT)","Jacó (NT)","ea72","not in pw76"
"","Jairus","Jairo","e367",
"","Jambres","Jambres","ecbc",
"","James","Tiago","e358",
"","James_the_Disciple","Tiago_o_Discípulo","e376",
"","Jannai","Janai","ec46",
" ","Jannes","Janes","ecbe",
"","jar","jarra","e0d5",
"","Jared","Jarede","ec62",
"","Jason","Janom","eb64",
"","Jechoniah","Jeconias","ea66",
"","Jehoshaphat","Josafá","ea5d",
"","Jephthah","Jefté","ed04",
" ","Jeremiah","Jeremias","ea28",
"","Jericho","Jericó","ea08",
"","Jerusalem","Jerusalém","e338",
"","Jesse","Jessé","ea58",
"","Jesus","Jesus","e037",
"","Jesus_not_Christ","Jesus_não_Cristo","eb03",
"","Jew","Judeus","e0f9",
"","Jewish","Judaico","e0f9",
"","Jezebel","Jezabel","eca2",
"","Joanan","Joanã","ec4c",
"","Joanna","Joana","ec63",
"","Job","Jó","ed0b",
"","Joda","Jodá","e34b",
"","Joel","Joel","ec92",
"","John","João","e35a",
"","John_the_Baptist","João_o_Batista","e336",
"","John_the_Disciple","João_o_Discípulo","e35a",
"","Jonah","Jonas","e0c5",
"","Jonah_Simons_father","Jonas_pai_Simão","ea29",
"","Jonam","Jonã","ec9b",
"","Joppa","Jope","ec2d",
"","Joram","Jorão","ea5e",
"","Jordan_River","Rio_Jordão","e34f",
"","Jorim","Jorim","ec64",
"","Joseph","José","ea15",
"","Joseph(NT)","José(NT)","ea73","not in pw76"
"","Joses","José","e369",
"","Joshua","Josué","eb03",
"","Josiah","Josias","ea65",
"","Jotham ","Jotão","eb82",
"","Jothan","Jothan","ea60",
"","journey","jornada","e381",
"","joy","alegria","e205",
"","Juda ","Judas","e368",
"","Judah","Judá","ea4b",
"","Judas","Judas","e368",
"","Judas_Iscariot","Judas_Iscariotes","e365",
"","Judas_not_Iscariot","Judas_não_Iscariotes","e368",
"","Jude","Judas","e368",
"","Judea","Judeia","e339",
"","judge","juíz","e1a2",
"","judgment","julgamento","e1a2",
"","Julia","Júlia","ebc7",
"","Julius","Júlio","ec07",
"","jump","saltar","ed0a",
"","Junia","Júnias","ebc8",
"","justice","justiça","ea25",
"","justify","justificar","eb4f",
"","Justus","Justo","eb6a",
"","keep","manter","e099",
"","key","chave","ea9d",
"","Kidron_Valley","Vale_Cedrom","eba6",
"","kill","matar","e141",
"","kind_nice","amável__gentil","e01c",
"","kind_same","amável_mesmo","ed00",
"","kindness","amabilidade","e01c",
"","king","rei","e028",
"","kingdom","reino","e02f",
"","Kish","Quis","eb49",
"","kiss","beijo","e0e8",
"","kneel","ajoelhar","e138",
"","knife","faca","e24e",
"","knock","bater","eb8b",
"","knot","atar","e30e",
"","know","conhecer","e062",
"","knowledge","conhecimento","e062",
"","Korah","Corá","ecf3",
" ","lake","lago","ec65",
"","Lamech","Lameque","ec66",
"","lamp","lámpada","e164",
"","lampstand","candelabro","e281",
"","land","terra","e153",
"","language","língua","ea23",
"","Laodicea","Laodiceia","ebf9",
"","Lasea","Lasea","ec16",
"","last","última","e234",
"","late ","tarde","e225",
"","later","mais tarde","e225",
"","Latin","Latim","eba8",
"","laugh","rir ","e224",
"","laughter","riso","e224",
"","law","lei","e22f",
"","lawful","legal","e22f",
"","lawlessness","ilegalidade","e08f",
"","Lazarus","Lázaro","ec67",
"","lead","liderança","e137",
"","lead_astray","desviar","e17f",
"","leader","líder","e137",
"","leaf","folha","e0b3",
"","leap","saltar","ed0a",
"","learn","aprender","e22a",
"","lease","arrendamento","e175",
"","least","mínimo","e397",
"","leather","couro","e255",
"","leave","deixar","e243",
"","leaven","fermentar","e32d",
"","left","esquerda","e0f4",
"","leg","perna","ebe0",
"","Legion","Legião","e366",
"","length","comprimento","ecc2",
"","leopard","leopardo","ecf8",
"","leprosy","lepra","e382",
"","letter","carta","eb84",
"","level","nível","e0d9",
"","Levi","Levi","eb1b",
"","Levi_Matthew","Levi_Mateus","e35c",
"","Levite","Levita","eb44",
"","lie ","mentira","e17f",
"","lie_down","deitar","e121",
"","life","vida","e09f",
"","lift","levantar","e081",
"","light","luz","e0c2",
"","lightning","relâmpago","ea88",
"","like ","como","e020",
"","linen","linho","ea20",
"","Linus","Lino","ecb0",
"","lion","leão","ecb6",
"","live","viver","e09f",
"","loaf","pão","e05d",
"","locust","gafanhoto","ecd4",
"","Lois","Loide","ecb7",
"","longsuffering","longo sofrimento","e16f",
"","looks_like","parece_que","ebcd",
"","lord","senhor","e028",
"","lost","perdido","e089",
"","lot","lote","ea16",
"","Lot","Ló","ebdc",
"","lots","grande quantidade","ea16",
"","loud","em alta voz","ebe8",
"","love","amor","e01a",
"","lower_adj","baixo_adj.","e324",
"","lower_verb","baixo_verbo","e080",
"","Lucius","Lúcio","ec93",
"","Luke","Lucas","eb68",
"","lunatic","lunático","e06d",
"","lust","concupiscência","e239",
"","Lybia","Líbia","eb73",
"","Lycaonia","Licaônia","eb51",
"","Lycia","Lícia","ec13",
"","Lydda","Lida","ec2e",
"","Lydia","Lídia","eb50",
"","Lysanias","Lisânias","ec40",
