,eb0d,Aaron,Arão
,ec07,Julius,Júlio
,ed0a,jump,saltar
,ebc8,Junia,Júnias
,ea25,justice,justiça
,eb4f,justify,justificar
,eb6a,Justus,Justo
,e099,keep,manter
,ea9d,key,chave
,eba6,Kidron_Valley,Vale_Cedrom
,e141,kill,matar
,e01c,kind_nice,amável__gentil
,ed00,kind_same,amável_mesmo
,e01c,kindness,amabilidade
,e028,king,rei
,e02f,kingdom,reino
,eb49,Kish,Quis
,e0e8,kiss,beijo
,e138,kneel,ajoelhar
,e24e,knife,faca
,eb8b,knock,bater
,e30e,knot,atar
,e062,know,conhecer
,e062,knowledge,conhecimento
,ecf3,Korah,Corá
 ,ec65,lake,lago
,ec66,Lamech,Lameque
,e164,lamp,lámpada
,e281,lampstand,candelabro
,e153,land,terra
,ea23,language,língua
,ebf9,Laodicea,Laodiceia
,ec16,Lasea,Lasea
,e234,last,última
,e225,late ,tarde
,e225,later,mais_tarde
,eba8,Latin,Latim
,e224,laugh,rir
,e224,laughter,riso
,e22f,law,lei
,e22f,lawful,legal
,e08f,lawlessness,ilegalidade
,ec67,Lazarus,Lázaro
,e137,lead,liderança
,e17f,lead_astray,desviar
,e137,leader,líder
,e0b3,leaf,folha
,ed0a,leap,saltar
,e22a,learn,aprender
,e175,lease,arrendamento
,e397,least,mínimo
,e255,leather,couro
,e243,leave,deixar
,e32d,leaven,fermentar
,e0f4,left,esquerda
,ebe0,leg,perna
,e366,Legion,Legião
,ecc2,length,comprimento
,ecf8,leopard,leopardo
,e382,leprosy,lepra
,eb84,letter,carta
,e0d9,level,nível
,eb1b,Levi,Levi
,e35c,Levi_Matthew,Levi_Mateus
,eb44,Levite,Levita
,e17f,lie ,mentira
,e121,lie_down,deitar
,e09f,life,vida
,e081,lift,levantar
,e0c2,light,luz
,ea88,lightning,relâmpago
,e020,like ,como
,ea20,linen,linho
,ecb0,Linus,Lino
,ecb6,lion,leão
,e09f,live,viver
,e05d,loaf,pão
,ecd4,locust,gafanhoto
,ecb7,Lois,Loide
,e16f,longsuffering,longo_sofrimento
,ebcd,looks_like,parece_que
,e028,lord,senhor
,e089,lost,perdido
,ea16,lot,lote
,ebdc,Lot,Ló
,ea16,lots,grande_quantidade
,ebe8,loud,em_alta_voz
,e01a,love,amor
,e324,lower_adj,baixo_adj.
,e080,lower_verb,baixo_verbo
,ec93,Lucius,Lúcio
,eb68,Luke,Lucas
,e06d,lunatic,lunático
,e239,lust,concupiscência
,eb73,Lybia,Líbia
,eb51,Lycaonia,Licaônia
,ec13,Lycia,Lícia
,ec2e,Lydda,Lida
,eb50,Lydia,Lídia
,ec40,Lysanias,Lisânias
,ec37,Lysias,Lísias
,eb44,Lystra,Listra
,ec4b,Maath,Maate
,ec0d,Macedonia,Macedônia
,ea30,Magadan,Magadan
,ec8a,magician,mágico
,ecf9,Magog_land          ,Magogue
,ec68,Mahalalel           ,Maalalel
,e076,make,fazer
,ebb7,Malchus,Malco
,ec19,Malta,Malta
,e000,man,homem
,eb40,Manaen,Manaém
,e137,manage,gerir
,ea63,Manasseh,Manassés
,eba9,manna,maná
,e198,many,muitos
,e371,Mark,Marcos
,e02e,market_place,mercado
,e010,marriage,matrimônio
,ec69,Martha,Marta
,e354,Mary,Maria
,e353,Mary_Magdalene,Maria_Madalena
,e354,Mary_Mother_of_Jesus,Maria_Mãe_de_Jesus
,e028,master,mestre
,ec9c,Mattatha,Matatá
,ec9d,Mattathias,Matatias
,ea71,Matthan,Matã
,ed12,Matthat,Matate
,eb04,Matthew,Mateus
,eb04,Matthias,Matias
,e122,mattress,colchão
,e236,mature,maduro
,e166,me,eu
,e053,meal,refeição
,ecfa,meaning,significado
,e305,measure,medida
,eb70,Media,Média
,ecfb,Megiddo,Megido
  ,ec45,Melchi,Melqui
,ed05,Melchizedek,Melquisedeque
,ec6a,Melea,Meleá
,e174,member,membro
,ec6b,Menna,Mená
,e01d,mercy,misericórdia
,eb72,Mesopotamia,Mesopotâmia
,e22d,message,mensagem
,e136,messenger,mensageiro
,e334,Messiah,Messias
,eb28,metal,metal
,ec6c,Methuselah,Metusalém
,ece1,Michael_angel       ,Micael
,eb0f,Midian_land         ,Midiã
,eb23,Miletus,Mileto
,eca3,milk,leite
,ecd9,million,Milhão
,e06c,mind,mente
,e095,miracle,milagre
,e385,Miriam,Miriã
,ebe6,mirror,espelho
,eb21,Mitylene,Mitilene
,eb26,Mnason,Mnasom
,ea12,mock,zombar
,ec26,Molech,Moloque
,e029,money,dinheiro
,e34c,month,mês
,e272,moon,lua
,e199,more,mais_tarde
,e163,morning,manhã
,e35b,Moses,Moisés
,e229,most,o_mais
,e00b,mother,mãe
,e351,Mount_of_Olives,Monte_das_Oliveiras
,eb5c,Mount_Sinai,Monte_Sinai
,ecf5,Mount_Zion,Monte_Sião
,e306,mountain,montanha
,e03f,mouth,boca
,e32f,move,mover
,e198,much,muitos
,e128,multitude,multidão
,ea10,murderer,assassino
,e039,mustard,mostarda
,e050,mute,mudo
,ec28,Myra,Mirra
,e245,myrrh,mirra
,eb4a,Mysia,Mísia
,e18b,mystery,mistério
,ec6d,Naaman,Naamã
,ec4a,Naggai,Nagai
,ec6e,Nahor,Naor
,ea52,Nahshon,Naassom
,ec48,Nahum,Naum
,ebaa,nail,unha
,ea48,Nain,Naim
,e04f,name,nome
,ea40,Naphtali,Naftali
,ebc9,Narcius,Narcius
,ec6f,Nathan,Natã
,ec6f,Nathanael,Natanael
,e0a2,nation,nação
,e34e,Nazareth,Nazaré
,e300,near,perto
,e0d3,neck,pescoço
,e07f,need,necessidade
 ,e078,needle,agulha
,e173,neighbor,vizinho
,eb4e,Neopolis,Neopolis
,ebca,Nereus,Nereu
,ec70,Neri,Neri
,e307,net,rede
,e308,new,novo
,e22d,news,novas
,ebf2,next,próximo
,eb55,Nicanor,Nicanor
,ebab,Nicodemus,Nicodemos
,eb56,Nicolaus,Nicolaus
,ed08,Nicopolis,Nicópolis
,e272,night,noite
,e294,nine,nove
,e0c6,Nineveh,Nínive
,e17c,no,não
,ea43,Noah,Noé
,ebe9,noise,ruído
,ea74,north,norte
,e309,nose,nariz
,e17c,not,nem
,e215,now,agora
,e0b7,number,número
